details,etat,marque,prix,adresse,image_lien
SAMSUNG 75 POUCES SMART TV 4K UHD,Neuf,Samsung,655 000,Plateau Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8ad0fe655185d468ccdfa1670e54972a/-/horizon-files-prod/ed/picture/q8v5n4wp/39d4721bc1849d6420055bf33282b1c358b9d940.jpg
SMART TV FINIX 55 POUCES WIFI ANDROID UHD,Neuf,Autre,245 000,Keur Massar Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c6334e31291bdc25658118841d9a062b/-/horizon-files-prod/ed/picture/q2j06q8k/060d23b0380b446aa3e0f8eec306a38c526392dc.jpg
"SMART LG 55"" UHD 4K (2024)",Neuf,LG,330 000,Pikine Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0299adcb564bc6304da17d50ce9bae53/-/horizon-files-prod/ed/picture/qm5g7wjw/e918cd2e234ac57c128c9611e79257dd81368853.jpg
SMART TV FINIX 43 POUCES WIFI 10.8CM,Neuf,Autre,130 000,Keur Massar Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b01ed3b3bf09b0c043c10adb7a28d999/-/horizon-files-prod/ed/picture/q6xdj8d4/8413d3b5aa91326d6cd9dbada5d78459c9ed4e6c.jpg
SAMSUNG 75 POUCES SMART TV 4K UHD,Neuf,Samsung,655 000,Plateau Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8ad0fe655185d468ccdfa1670e54972a/-/horizon-files-prod/ed/picture/q8v5n4wp/39d4721bc1849d6420055bf33282b1c358b9d940.jpg
"SONY BRAVIA 85"" Google TV 4K",Neuf,Sony,1 400 000,Patte d‘oie Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1dcdb60393db61853fd6d95fce875688/-/horizon-files-prod/ed/picture/q56dkgzr/8df88d71128673c48709e6a19a7d5c4422f84059.jpg
"smart samsung 65"" uhd 4k full options",Neuf,Samsung,424 900,Ouakam Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2b86b60f91fd3f39763bbe487cbf5dcc/-/horizon-files-prod/ed/picture/q44n2jwp/5e94d47e5d38bf80fcd32aea70f837eb4c1759ee.jpg
ASTECH TV LED 43 POUCES SMART TV WiFi,Neuf,Astech,132 000,Plateau Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/19bc30fb440b668c5812cbec3864c5a0/-/horizon-files-prod/ed/picture/qmkj9e2/6fcd8080094b3e2cda0948f877747498aa54135a.jpg
"SAMSUNG SMART 70"" UHD 4K",Neuf,Samsung,599 000,Pikine Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/64d14579147f4249ec27ca8a5998ce5a/-/horizon-files-prod/ed/picture/qv4wrnxk/85fe02f936d4a1b8e6f9bb4158e83d9c77171578.jpg
"tv smart haier 43"" android full options",Neuf,Haier,129 900,Ouakam Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/520b5a38d8e12ab9980e2d9820941966/-/horizon-files-prod/ed/picture/q78w56wd/fa60dbe1081489d1740fb43c9c561429d65c3b11.jpg
Tcl smart tv 75 pouces WiFi 4K USB UHD,Neuf,TCL,499 000,Plateau Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3deccf6bad09117138e35bc464b3812f/-/horizon-files-prod/ed/picture/qwepwz5k/3f2581487df35df910020340d3320083a741e073.jpg
SAMSUNG 75 POUCES SMART TV 4K UHD,Neuf,Samsung,655 000,Plateau Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8ad0fe655185d468ccdfa1670e54972a/-/horizon-files-prod/ed/picture/q8v5n4wp/39d4721bc1849d6420055bf33282b1c358b9d940.jpg
"SMART LG 55"" UHD 4K (2024)",Neuf,LG,330 000,Pikine Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/bafad0e8da6a769f5415e08cea1f4010/-/horizon-files-prod/ed/picture/qngpknw0/95864f82a714a33621e2be06d5c3b70418d59f4c.jpg
SAMSUNG 75 POUCES SMART TV 4K UHD,Neuf,Samsung,655 000,Plateau Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8ad0fe655185d468ccdfa1670e54972a/-/horizon-files-prod/ed/picture/q8v5n4wp/39d4721bc1849d6420055bf33282b1c358b9d940.jpg
"LG SMART 86"" UHD 4K (2024)",Neuf,LG,1 200 000,Patte d‘oie Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2749e4019cb87ad12977e5a36bc11245/-/horizon-files-prod/ed/picture/q9mjzwj0/7a68866a69c5aaf30406d0e90daed860f75352bb.jpg
