web-scraper-order,web-scraper-start-url,Telephone,Telephone-href,Etat_Telephone,Marque,RAM,Couleur,Stockage,Dimension_Ecran,Prix
"1739118724-1","https://www.expat-dakar.com/telephones?page=200","Chargeur MacBook type T ou l 45 - 60 ou 85 w
                                Neuf
                                                                                    Dieuppeul,
                                                                                Dakar
                                    
                                        Aujourd'hui, 14:54
                                    
                                            Vendeur vérifié
                                        
                    20 000 F Cfa
                        
                        775573199
                    
                        775573199
                    
                        338686474","https://www.expat-dakar.com/annonce/chargeur-macbook-type-t-ou-l-45-60-ou-85-w-6233523","Neuf","","","Balance","","","20 000 F Cfa"
"1739118727-2","https://www.expat-dakar.com/telephones?page=200","iPhone 12 neufs
                                VenantiPhone
                                                                                    Médina,
                                                                                Dakar
                                    
                                        Aujourd'hui, 15:13
                                    
                    165 000 F Cfa
                        
                        783908361","https://www.expat-dakar.com/annonce/iphone-12-neufs-6277698","Venant","iPhone","","","64Go","","165 000 F Cfa"
"1739118729-3","https://www.expat-dakar.com/telephones?page=200","MSI Pulse 16 AI (2024)
                                NeufMSI
                                                                                    Sicap Sacré-cœur,
                                                                                Dakar
                                    
                                        Aujourd'hui, 15:14
                                    
                    950 000 F Cfa
                        
                        769454291
                    
                        773742761
                    
                        778557676","https://www.expat-dakar.com/annonce/msi-pulse-16-ai-2024-6230198","Neuf","MSI","16GB DDR5","","SSD 1TB","","950 000 F Cfa"
"1739118732-4","https://www.expat-dakar.com/telephones?page=200","Hp probook x360 11 g7
                                NeufHP
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        Aujourd'hui, 15:18
                                    
                    115 000 F Cfa
                        
                        781459921
                    
                        781459921","https://www.expat-dakar.com/annonce/hp-probook-x360-11-g7-6277701","Neuf","HP","8","Bleu","128","","115 000 F Cfa"
"1739118734-5","https://www.expat-dakar.com/telephones?page=200","15pro max 512G
                                VenantiPhone
                                                                                    Médina,
                                                                                Dakar
                                    
                                        Aujourd'hui, 15:31
                                    
                    520 000 F Cfa
                        
                        775723147
                    
                        775723147","https://www.expat-dakar.com/annonce/15pro-max-512g-6275761","Venant","iPhone","","","","","520 000 F Cfa"
"1739118738-6","https://www.expat-dakar.com/telephones?page=200","Nintendo Switch Oled neufs
                                Neuf
                                                                                    Patte d‘oie,
                                                                                Dakar
                                    
                                        Aujourd'hui, 15:43
                                    
                    200 000 F Cfa
                        
                        771426536","https://www.expat-dakar.com/annonce/nintendo-switch-oled-neufs-6277697","Neuf","","","Blanche","","","200 000 F Cfa"
"1739118740-7","https://www.expat-dakar.com/telephones?page=200","MacBook Air core i5
                                VenantApple
                                                                                    Grand-Yoff,
                                                                                Dakar
                                    
                                        Aujourd'hui, 15:43
                                    
                    145 000 F Cfa
                        
                        772353906","https://www.expat-dakar.com/annonce/macbook-air-core-i5-6277662","Venant","Apple","8","Gris","128","","145 000 F Cfa"
"1739118743-8","https://www.expat-dakar.com/telephones?page=200","HP 830 g6 i5
                                VenantHP
                                                                                    Parcelles Assainies,
                                                                                Dakar
                                    
                                        Aujourd'hui, 15:43
                                    
                    185 000 F Cfa
                        
                        776599060","https://www.expat-dakar.com/annonce/hp-830-g6-i5-6277628","Venant","HP","","Gris","256","","185 000 F Cfa"
"1739118746-9","https://www.expat-dakar.com/telephones?page=200","Surface Pro 7 - I7 | 16GB RAM | 256
                                VenantMicrosoft Surface
                                                                                    Point-e,
                                                                                Dakar
                                    
                                        Aujourd'hui, 15:52
                                    
                    325 000 F Cfa
                        
                        779096699
                    
                        775706666","https://www.expat-dakar.com/annonce/surface-pro-7-i7-16gb-ram-256-6159486","Venant","Microsoft Surface","16","Noir","256","","325 000 F Cfa"
"1739118748-10","https://www.expat-dakar.com/telephones?page=200","Microsoft Surface Laptop Studio 2 Core i7 / 32GB / 1TB
                                NeufMicrosoft Surface
                                                                                    Point-e,
                                                                                Dakar
                                    
                                        Aujourd'hui, 15:53
                                    
                    950 000 F Cfa
                        
                        779096699
                    
                        775706666","https://www.expat-dakar.com/annonce/microsoft-surface-laptop-studio-2-core-i7-32gb-1tb-6263191","Neuf","Microsoft Surface","32GB","gris","1TB","","950 000 F Cfa"
