details,etat,marque,prix,adresse,image_lien
Redmi note 13 pro plus 256Gb scelle,Neuf,Xiaomi,220 000,Liberte 6 extension Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1dec66f9ab9363a73cc0faaba636900e/-/horizon-files-prod/ed/picture/q6xd9276/531c08d6c556e7fa2a542d1c0da5c0fd54728e42.jpg
Nokia C1 deuxième édition 16go ram 1go 4g Avec pochette,Neuf,Nokia,40 000,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/332b312254312771cdb4c4ff4e5b723f/-/horizon-files-prod/ed/picture/qwep9m74/36a0eeb1d87b9efa44cd399a1caa6bb2011f4865.jpg
INFINIX HOT 40I 256 GO RAm 16go,Neuf,Infinix,79 900,Colobane Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0abfaa7ae323ff41f2665f57cdbcb21f/-/horizon-files-prod/ed/picture/q2j0vpeq/263d5574dced44763d1cf80d56654231d06976e5.jpg
16Plus 128Go SIM garantie 1ans,Neuf,iPhone,620 000,Plateau Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3f09d0c5463feb365d9ce67b95e5726c/-/horizon-files-prod/ed/picture/q9mjqde6/5385d049a42bf637a3ab612caec462e8441862fe.jpg
Watch S9 45mm scellé,Neuf,iPhone,240 000,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3945013cc40e4d543c332c23d69bce5f/-/horizon-files-prod/ed/picture/qv4w6q62/99bf44073295856d258832a249c6d6cc36ba8dfb.jpg
Samsung Galaxy S25ultra 512giga neuf scellé,Neuf,Samsung,855 000,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/cbefcdec77dcb6a748e266cf3086a2f6/-/horizon-files-prod/ed/picture/qde7p6kr/1fc4a3f905ffd1d7aaf3538f6ee58b20f6baa266.jpg
iphone 7 plus,Neuf,iPhone,55 000,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/98cc94100a13f550ac56a31d031cad6f/-/horizon-files-prod/ed/picture/qngpz07g/c7e599c0116c56356b7acc2c69458a4840f854e2.jpg
M-horse s22 64go mémoire ram 4go,Neuf,Autres,35 000,Parcelles Assainies Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/11452e9f85e35835b731491293410acc/-/horizon-files-prod/ed/picture/qxjpm8rw/0602debdb88664d72a676dda1227bf2502169924.jpg
Xiaomi redmi note 13pro plus neuf 256go ram 8go,Neuf,Xiaomi,175 000,Parcelles Assainies Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/efe0f96bfb95cd92658cee566956d91d/-/horizon-files-prod/ed/picture/qenv8rek/08fb873c4ab2958832a56c60ffb70564fff08d33.jpg
Samsung galaxy A06 neuf 128go ram 4go,Neuf,Samsung,63 000,Parcelles Assainies Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/fd1eb33361129c6d47e434fff52d0333/-/horizon-files-prod/ed/picture/q9mjzkq0/cf75724d8b3119f8c79633437bfedbeff80d3a06.jpg
Xiaomi Redmi note 13pro neuf 256go ram 8go,Neuf,Xiaomi,140 000,Parcelles Assainies Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/6bc293cc06ff49d24f56223023306303/-/horizon-files-prod/ed/picture/qxjp9704/700333ec25fe02ab4f72dcf7d0a468833e85f7d4.jpg
Redmi note 13 neuf 256go ram 8go,Neuf,Xiaomi,105 000,Parcelles Assainies Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/bfd547a87054f548c2c3c804f6f7084b/-/horizon-files-prod/ed/picture/q56dnp0n/5e115a83818272221196764c704f7fa21b441612.jpg
iPhone 15 simple scellée,Neuf,iPhone,415 000,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2d6d17737b379417b209cc62e4cb3fa7/-/horizon-files-prod/ed/picture/q78wz99d/1a89d215e8417268d7b80cc19b3be3db496f2af9.jpg
iPhone 13 simple,Neuf,iPhone,235 000,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8d89770dde9d9b12aeea45bc8e6de8bd/-/horizon-files-prod/ed/picture/qzvp9ee6/5b8add79fbaf654973478a9f046e1dd15b6e17c3.jpg
