etat_ordinateur,marque_ordinateur,prix_ordinateur,adresse,image_ordinateur
NeufAcer,Acer Swift 3 i7 2023,280 000,Plateau Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d04636a11feef05bdcb5c981f0a397cc/-/horizon-files-prod/ed/picture/qv4wv0qg/735c2926a126858188054050988f3a8d12ccb273.jpg
VenantHP,Hp ELITEBOOk 830 G6 disponible,170 000,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/545d7fd1cbcc126e1305d9945bf348bd/-/horizon-files-prod/ed/picture/qenvkwpx/d49dd0d151c945fd82ae028b11df672b269b63fd.jpg
VenantHP,Ordinateur de bureau Hp Prodesk 400 G1,120 000,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d8e7193fd6c207c4e52300adeba135a0/-/horizon-files-prod/ed/picture/qp4rq6v/a28285e8bfe9674dfe00466b611155496632b3e0.jpg
VenantHP,Hp Zbook create G7,530 000,Plateau Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1211dd4486f29a0c7f292a8ad902cc04/-/horizon-files-prod/ed/picture/qzvpq4pr/327b7d460ac58d823fc7bc9f79a473be899922a5.jpg
VenantHP,Hp EliteBook 820 g4 i5 ram 8,150 000,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/34fd2ba24600494187c46a348c9c1915/-/horizon-files-prod/ed/picture/q44n44m4/f69104358d8132a2d36245a3861c45d040c42497.jpg
VenantHP,Hp Probook X360 11 G5 hybride 2in 1,95 000,Plateau Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/77ea52662b525fb9e2ed5a518d28cd87/-/horizon-files-prod/ed/picture/qm5gj40g/3f378d847f04b381fff3b6313d63de79b002d39b.jpg
VenantApple,MacBook Pro Touch Bar 2018,350 000,Hann maristes Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8c64519e5858afbe613317afa0058189/-/horizon-files-prod/ed/picture/qv4e7ezg/2c3e7c6084983480af6a38578493c9bea8a47141.jpg
VenantHP,HP PROBOOK 430 G6 CORE I5,200 000,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/be1ee1d43f35c76f12f3e893ec56b764/-/horizon-files-prod/ed/picture/qgqw7mrq/01daced97082935dd6eff01f3e766909b68c7f69.jpg
VenantLenovo,Lenovo Legion Go,"500 000

550 000

Économisez9.1%",Sicap Sacré-cœur Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b22449d0ebac15550923794abe25c55a/-/horizon-files-prod/ed/picture/qde7kp8g/edfe9aefa69246911ff5a81391888964335fda96.jpg
VenantHP,HP Envy x360 Intel Core Ultra 7 15e génération,700 000,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/efa1b13cd9c602166264de7898d3ead9/-/horizon-files-prod/ed/picture/qzvpezw9/629d0bf5d0c63f59573feb05f253639939cf3966.jpg
NeufHP,HP ORDINATEUR ALL IN ONE AIO 200 G4 22 CORE I3 4GB/1TB 22,349 999,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d95cb8ecb20e57dd6551889654f87807/-/horizon-files-prod/ed/picture/qjgwv8z/08518af1e9dfea9a8c02c86483aa9799e47163c2.jpg
VenantLenovo,Lenovo L470 i5 7th ram 8,160 000,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/99eb295b8464d4f6ddf5e9bc9e50ffcb/-/horizon-files-prod/ed/picture/qj4j05g5/b5274cdc666f7948af4025cca9a520a6cb07c8e7.jpg
NeufDell,Dell Latitude 7440 i7 13th Gen Écran tactile,650 000,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8c8f7e4652da2638fb3a70e5d60ebcfe/-/horizon-files-prod/ed/picture/qde7jn5j/76efe029755638c3d6ca68d278e96fceaf5a84e9.jpg
NeufApple,"MacBook Pro M3 Pro 16"" 36Go 1To Azerty 2024",1 500 000,Derkle Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8e6ccf8c4d8c57d2c7d4a9525990ce12/-/horizon-files-prod/ed/picture/qwep5k06/14c5a83eeb80ed347a7413322c9701e109d0ce62.jpg
NeufDell,Dell PRECISION 5680 intel core i7 2.5Ghz 13th gen (20coeurs),850 000,Parcelles Assainies Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/9703a79c04ce6d9c74d84db2089b01f2/-/horizon-files-prod/ed/picture/qngpk79z/32459a6517f653fed9bd24974e64b11a3c6a06e7.jpg
NeufHP,Promo☄️Hp EliteBook 840 Corei5,150 000,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0aef04274e66c1acd7be787084acc9e1/-/horizon-files-prod/ed/picture/qpdm5qm0/7050eb4ccfe74904760dea7441b0c64ccd8e4e70.jpg
VenantLenovo,Promo décembreLenovo gamer  p50s core i7 Ram 16Go,250 000,Almadies Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/561fe35cd16e1872c77976c0999b440d/-/horizon-files-prod/ed/picture/qq42xg8j/39381c8381ce62244ac0bf96dc52fb04d434206b.jpg
VenantDell,Dell 7400 i5 8th ram 8,160 000,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ebd038bd887ec90c7f12809a437160b6/-/horizon-files-prod/ed/picture/qv4w0z6v/b5fb8ab1ae7b061a2670695c0102b72f26b93a48.jpg
VenantHP,HP ELITEBOOK 840  CORE I7 8 TH GENERATION,249 999,Médina Dakar,https://i.roamcdn.net/hz/ed/listing-thumb-224w/7a3a4ff3ddb1f154a7c19f8af06c46b4/-/horizon-files-prod/ed/picture/qngxm08m/08083ab7b927cadfdeda7d3cb5f8328b2eb1b412.jpg
